Name,Longitude,Latitude
E01005026,-2.285328,53.589298
E01005027,-2.299791,53.587442
E01005028,-2.287387,53.584451
E01005029,-2.293256,53.584095
E01005030,-2.303002,53.578381
E01005031,-2.291817,53.521675
E01005032,-2.287084,53.51633
E01005033,-2.276494,53.520647
E01005034,-2.28514,53.536917
E01005035,-2.290502,53.530647
E01005036,-2.282826,53.531038
E01005037,-2.289495,53.525274
E01005038,-2.285705,53.52161
E01005039,-2.270327,53.527857
E01005040,-2.25262,53.526337
E01005041,-2.257171,53.52308
E01005042,-2.269336,53.522858
E01005043,-2.263003,53.520815
E01005044,-2.26774,53.518909
E01005045,-2.274565,53.529092
E01005046,-2.33299,53.626206
E01005047,-2.358314,53.62185
E01005048,-2.33859,53.628886
E01005049,-2.339002,53.617125
E01005050,-2.332256,53.607405
E01005051,-2.338621,53.611549
E01005052,-2.341039,53.608293
E01005053,-2.339236,53.603345
E01005054,-2.2865,53.569764
E01005055,-2.288432,53.561613
E01005056,-2.278097,53.56008
E01005057,-2.274067,53.566192
E01005058,-2.284856,53.557959
E01005059,-2.290367,53.579383
E01005060,-2.294435,53.57174
E01005061,-2.207192,53.468663
E01005062,-2.224551,53.465502
E01005063,-2.215296,53.464073
E01005065,-2.225164,53.469422
E01005066,-2.234511,53.470878
E01005067,-2.19621,53.467378
E01005068,-2.285166,53.379541
E01005069,-2.303153,53.396764
E01005070,-2.285985,53.389547
E01005071,-2.287451,53.395917
E01005072,-2.279667,53.39413
E01005073,-2.275039,53.393989
E01005074,-2.28093,53.38686
E01005075,-2.286901,53.383597
E01005076,-2.240146,53.425416
E01005077,-2.262918,53.421528
E01005078,-2.246545,53.420244
E01005079,-2.256928,53.422286
E01005081,-2.259741,53.434171
E01005082,-2.270524,53.430248
E01005083,-2.244353,53.423394
E01005084,-2.264456,53.427115
E01005085,-2.263702,53.395625
E01005086,-2.259458,53.392346
E01005087,-2.266039,53.390589
E01005088,-2.270048,53.387267
E01005089,-2.260427,53.387128
E01005090,-2.271199,53.383511
E01005091,-2.262202,53.383726
E01005092,-2.182901,53.485301
E01005093,-2.175593,53.485429
E01005094,-2.172324,53.48271
E01005097,-2.178075,53.487835
E01005098,-2.234058,53.536216
E01005099,-2.213901,53.535498
E01005100,-2.222964,53.534961
E01005101,-2.217865,53.531224
E01005102,-2.236669,53.534334
E01005103,-2.228824,53.530635
E01005104,-2.235071,53.526287
E01005105,-2.203761,53.476298
E01005106,-2.189935,53.476065
E01005107,-2.177071,53.477158
E01005108,-2.169076,53.474614
E01005111,-2.305379,53.406947
E01005112,-2.279006,53.399389
E01005113,-2.303593,53.401596
E01005114,-2.311949,53.405924
E01005115,-2.289083,53.408442
E01005116,-2.298822,53.405466
E01005117,-2.28897,53.399831
E01005118,-2.2044,53.434248
E01005119,-2.203283,53.425895
E01005120,-2.199198,53.433613
E01005121,-2.20806,53.429457
E01005122,-2.196962,53.429998
E01005123,-2.214091,53.426995
E01005124,-2.207896,53.42311
E01005125,-2.214583,53.422349
E01005126,-2.215753,53.418237
E01005128,-2.236322,53.474279
E01005129,-2.216619,53.491057
E01005130,-2.22268,53.49159
E01005132,-2.212589,53.487677
