Name,masterpc,Latitude,Longitude
S00124994,G68 9JB,55.945874,-4.0249076
S00098288,DG2 9JX,55.076814,-3.6347372
S00132782,ML3 8DX,55.76051,-4.0588953
S00127510,PA5 0SS,55.818413,-4.5334173
S00113145,G20 6AY,55.877253,-4.2723124
S00094353,G84 0HY,55.990123,-4.8431365
S00114198,G33 3SQ,55.872655,-4.1618567
S00113626,G23 5PP,55.902048,-4.2946396
S00134087,EH54 8PN,55.908048,-3.536617
S00134208,EH48 3TR,55.885277,-3.7719802
S00089830,AB16 5NL,57.158897,-2.1562885
S00119128,KW9 6PH,58.008164,-3.8557759
S00106758,EH7 4JH,55.964895,-3.1914465
S00109229,KY11 2SU,56.043457,-3.4296862
S00122305,KA21 5RD,55.640637,-4.774932
S00110446,KY8 2AS,56.192379,-3.0354723
S00123038,KA24 5BP,55.710476,-4.726643
S00110734,KY7 4BL,56.194625,-3.1714039
S00124338,G71 5NG,55.83502,-4.0574347
S00124953,G67 4JU,55.932486,-4.0132746
S00101302,G66 1EZ,55.936862,-4.1601972
S00094607,PA28 6TF,55.420565,-5.6083642
S00115531,G52 2HX,55.849276,-4.3544417
S00105808,EH14 2RR,55.916539,-3.2840446
S00101745,EH32 9FT,55.962124,-2.9659923
S00126690,PH2 7ES,56.402707,-3.4176557
S00104284,EH6 8BU,55.964726,-3.1630216
S00120977,EH26 0JH,55.836829,-3.2310698
S00116434,G20 0DB,55.893231,-4.288377
S00120887,EH20 9RJ,55.877102,-3.146462
S00106190,EH16 5QT,55.922823,-3.1663109
S00103762,EH4 4DB,55.971673,-3.2430248
S00120461,EH26 9EQ,55.826106,-3.2278257
S00125479,ML6 8US,55.84543,-3.9462352
S00132277,ML8 4RU,55.72595,-3.8183703
S00130190,G72 7YR,55.817861,-4.141768
S00125170,ML7 5SP,55.863429,-3.7482297
S00119886,PA15 4UT,55.941428,-4.7393672
S00099508,DD4 8AD,56.479817,-2.9432089
S00124643,ML7 5HD,55.812955,-3.7799427
S00122042,KA12 8DW,55.607841,-4.6690793
S00131685,G75 0DQ,55.759406,-4.1862661
S00106974,EH4 4JQ,55.97406,-3.2459376
S00100419,KA1 5DJ,55.596321,-4.450281
S00092107,AB44 1XQ,57.665026,-2.4943241
S00091042,AB42 4ES,57.581765,-2.0086314
S00089822,AB16 5NB,57.15911,-2.1515448
S00124973,G67 4BE,55.938343,-4.0012496
S00127852,PA2 7ED,55.837257,-4.4088486
S00112313,G4 0AN,55.857207,-4.2421235
S00095311,TD1 2EX,55.625571,-2.8235491
S00106141,EH16 4AD,55.931043,-3.1464061
S00109374,KY11 4PB,56.061319,-3.4406583
S00123207,G66 5DT,55.908025,-4.1502892
